Channel,Date,New fans,Region,Fans
Twitter,13/12/2014 0:00,0,Singapore,217
Facebook,14/12/2014 0:00,0,Australia,111380
Facebook,14/12/2014 0:00,0,India,337694
Facebook,14/12/2014 0:00,0,Indonesia,288741
Facebook,14/12/2014 0:00,0,Malaysia,210256
Facebook,14/12/2014 0:00,0,New Zealand,27565
Facebook,14/12/2014 0:00,0,Philippines,50355
Facebook,14/12/2014 0:00,0,Singapore,86369
Instagram,14/12/2014 0:00,0,Australia,17021
Instagram,14/12/2014 0:00,0,India,13601
Instagram,14/12/2014 0:00,0,Indonesia,36579
Instagram,14/12/2014 0:00,0,Malaysia,7483
Instagram,14/12/2014 0:00,0,New Zealand,1626
Instagram,14/12/2014 0:00,0,Singapore,4025
Twitter,14/12/2014 0:00,0,Australia,4612
Twitter,14/12/2014 0:00,0,India,9726
Twitter,14/12/2014 0:00,0,Indonesia,104178
Twitter,14/12/2014 0:00,0,Malaysia,4466
Twitter,14/12/2014 0:00,0,New Zealand,4862
Twitter,14/12/2014 0:00,0,Philippines,2550
Twitter,14/12/2014 0:00,0,Singapore,217
Facebook,15/12/2014 0:00,0,Australia,111380
Facebook,15/12/2014 0:00,0,India,337694
Facebook,15/12/2014 0:00,0,Indonesia,288741
Facebook,15/12/2014 0:00,0,Malaysia,210256
Facebook,15/12/2014 0:00,0,New Zealand,27565
Facebook,15/12/2014 0:00,0,Philippines,50355
Facebook,15/12/2014 0:00,0,Singapore,86369
Instagram,15/12/2014 0:00,0,Australia,17021
Instagram,15/12/2014 0:00,0,India,13601
Instagram,15/12/2014 0:00,0,Indonesia,36579
Instagram,15/12/2014 0:00,0,Malaysia,7483
Instagram,15/12/2014 0:00,0,New Zealand,1626
Instagram,15/12/2014 0:00,0,Singapore,4025
Twitter,15/12/2014 0:00,0,Australia,4612
Twitter,15/12/2014 0:00,0,India,9726
Twitter,15/12/2014 0:00,0,Indonesia,104178
Twitter,15/12/2014 0:00,0,Malaysia,4466
Twitter,15/12/2014 0:00,0,New Zealand,4862
Twitter,15/12/2014 0:00,0,Philippines,2550
Twitter,15/12/2014 0:00,0,Singapore,217
Facebook,16/12/2014 0:00,1,Australia,111381
Facebook,16/12/2014 0:00,70,India,337764
Facebook,16/12/2014 0:00,4,Indonesia,288745
Facebook,16/12/2014 0:00,26,Malaysia,210282
Facebook,16/12/2014 0:00,11,New Zealand,27576
Facebook,16/12/2014 0:00,4,Philippines,50359
Facebook,16/12/2014 0:00,5,Singapore,86374
Instagram,16/12/2014 0:00,42,Australia,17063
Instagram,16/12/2014 0:00,15,India,13616
Instagram,16/12/2014 0:00,34,Indonesia,36613
Instagram,16/12/2014 0:00,6,Malaysia,7489
Instagram,16/12/2014 0:00,3,New Zealand,1629
Instagram,16/12/2014 0:00,3,Singapore,4028
Twitter,16/12/2014 0:00,1,Australia,4613
Twitter,16/12/2014 0:00,7,India,9733
Twitter,16/12/2014 0:00,8,Indonesia,104186
Twitter,16/12/2014 0:00,0,Malaysia,4466
Twitter,16/12/2014 0:00,3,New Zealand,4865
Twitter,16/12/2014 0:00,-1,Philippines,2549
Twitter,16/12/2014 0:00,15,Singapore,232
Facebook,17/12/2014 0:00,-1,Australia,111380
Facebook,17/12/2014 0:00,252,India,338016
Facebook,17/12/2014 0:00,36,Indonesia,288781
Facebook,17/12/2014 0:00,37,Malaysia,210319
Facebook,17/12/2014 0:00,22,New Zealand,27598
Facebook,17/12/2014 0:00,13,Philippines,50372
Facebook,17/12/2014 0:00,13,Singapore,86387
Instagram,17/12/2014 0:00,215,Australia,17278
Instagram,17/12/2014 0:00,49,India,13665
Instagram,17/12/2014 0:00,81,Indonesia,36694
Instagram,17/12/2014 0:00,10,Malaysia,7499
Instagram,17/12/2014 0:00,3,New Zealand,1632
Instagram,17/12/2014 0:00,-1,Singapore,4027
Twitter,17/12/2014 0:00,7,Australia,4620
Twitter,17/12/2014 0:00,11,India,9744
Twitter,17/12/2014 0:00,40,Indonesia,104226
Twitter,17/12/2014 0:00,0,Malaysia,4466
Twitter,17/12/2014 0:00,2,New Zealand,4867
Twitter,17/12/2014 0:00,0,Philippines,2549
Twitter,17/12/2014 0:00,26,Singapore,258
Facebook,18/12/2014 0:00,205,Australia,111585
Facebook,18/12/2014 0:00,209,India,338225
Facebook,18/12/2014 0:00,33,Indonesia,288814
Facebook,18/12/2014 0:00,45,Malaysia,210364
Facebook,18/12/2014 0:00,196,New Zealand,27794
Facebook,18/12/2014 0:00,15,Philippines,50387
Facebook,18/12/2014 0:00,17,Singapore,86404
Instagram,18/12/2014 0:00,-416,Australia,16862
Instagram,18/12/2014 0:00,-120,India,13545
Instagram,18/12/2014 0:00,-367,Indonesia,36327
Instagram,18/12/2014 0:00,2,Malaysia,7501
