Serial|Year|Award|Winner|Film|Names,,,,,,,,,,,
3168|2013|Sound Editing|0|Lone Survivor |Wylie Stateman,,,,,,,,,,,
3169|2013|Sound Mixing|0|Lone Survivor |Andy Koyama, Beau Borders and David Brownlow,,,,,,,,,,
3170|1958|Actress in a Supporting Role|0|Lonelyhearts|Maureen Stapleton,,,,,,,,,,,
3171|1962|Actress|0|Long Day's Journey into Night|Katharine Hepburn,,,,,,,,,,,
3172|2000|Documentary (Feature)|0|Long Night's Journey into Day |Frances Reid, Deborah Hoffmann,,,,,,,,,,
3173|1990|Actor in a Supporting Role|0|Longtime Companion|Bruce Davison,,,,,,,,,,,
3174|1977|Actress in a Supporting Role|0|Looking for Mr. Goodbar|Tuesday Weld,,,,,,,,,,,
3175|1977|Cinematography|0|Looking for Mr. Goodbar |William A. Fraker,,,,,,,,,,,
3176|1978|Medal of Commendation|1|Loren L. Ryder|,,,,,,,,,,,
3177|2004|Short Film (Animated)|0|Lorenzo |Mike Gabriel and Baker Bloodworth,,,,,,,,,,,
3178|1992|Actress in a Leading Role|0|Lorenzo's Oil|Susan Sarandon,,,,,,,,,,,
3179|1992|Writing (Screenplay Written Directly for the Screen)|0|Lorenzo's Oil |George Miller, Nick Enright,,,,,,,,,,
3180|1963|Foreign Language Film|0|Los Tarantos |Spain,,,,,,,,,,,
3181|2003|Actor in a Leading Role|0|Lost in Translation|Bill Murray,,,,,,,,,,,
3182|2003|Best Picture|0|Lost in Translation |Ross Katz and Sofia Coppola, Producers,,,,,,,,,,
3183|2003|Directing|0|Lost in Translation |Sofia Coppola,,,,,,,,,,,
3184|2003|Writing (Original Screenplay)|1|Lost in Translation |Written by Sofia Coppola,,,,,,,,,,,
3185|1950|Honorary Award|1|Louis B. Mayer|,,,,,,,,,,,
3186|1950|Sound Recording|0|Louisa |Universal-International Studio Sound Department, Leslie I. Carey, Sound Director,,,,,,,,,
3187|1992|Actress in a Leading Role|0|Love Field|Michelle Pfeiffer,,,,,,,,,,,
3188|1955|Actress|0|Love Is a Many-Splendored Thing|Jennifer Jones,,,,,,,,,,,
3189|1955|Art Direction (Color)|0|Love Is a Many-Splendored Thing |Art Direction: Lyle Wheeler, George W. Davis; Set Decoration: Walter M. Scott, Jack Stubbs,,,,,,,,,
3190|1955|Best Motion Picture|0|Love Is a Many-Splendored Thing |Buddy Adler, Producer,,,,,,,,,,
3191|1955|Cinematography (Color)|0|Love Is a Many-Splendored Thing |Leon Shamroy,,,,,,,,,,,
3192|1955|Costume Design (Color)|1|Love Is a Many-Splendored Thing |Charles LeMaire,,,,,,,,,,,
3193|1955|Music (Music Score of a Dramatic or Comedy Picture)|1|Love Is a Many-Splendored Thing |Alfred Newman,,,,,,,,,,,
3194|1955|Sound Recording|0|Love Is a Many-Splendored Thing |20th Century-Fox Studio Sound Department, Carl W. Faulkner, Sound Director,,,,,,,,,
3195|1955|Actor|0|Love Me or Leave Me|James Cagney,,,,,,,,,,,
3196|1955|Music (Scoring of a Musical Picture)|0|Love Me or Leave Me |Percy Faith, George Stoll,,,,,,,,,,
3197|1955|Sound Recording|0|Love Me or Leave Me |Metro-Goldwyn-Mayer Studio Sound Department, Wesley C. Miller, Sound Director,,,,,,,,,
3198|1955|Writing (Motion Picture Story)|1|Love Me or Leave Me |Daniel Fuchs,,,,,,,,,,,
3199|1955|Writing (Screenplay)|0|Love Me or Leave Me |Daniel Fuchs, Isobel Lennart,,,,,,,,,,
3200|1970|Actor|0|Love Story|Ryan O'Neal,,,,,,,,,,,
3201|1970|Actor in a Supporting Role|0|Love Story|John Marley,,,,,,,,,,,
3202|1970|Actress|0|Love Story|Ali MacGraw,,,,,,,,,,,
3203|1970|Best Picture|0|Love Story |Howard G. Minsky, Producer,,,,,,,,,,
3204|1970|Directing|0|Love Story |Arthur Hiller,,,,,,,,,,,
3205|1970|Music (Original Score)|1|Love Story |Francis Lai,,,,,,,,,,,
3206|1970|Writing (Story and Screenplay, Based on Factual Material or Material Not Previously Published or Produced)|0|Love Story |Erich Segal,,,,,,,,,,
3207|1986|Short Film (Live Action)|0|Love Struck |Fredda Weiss, Producer,,,,,,,,,,
3208|1963|Actress|0|Love with the Proper Stranger|Natalie Wood,,,,,,,,,,,
3209|1963|Art Direction (Black and White)|0|Love with the Proper Stranger |Art Direction: Hal Pereira, Roland Anderson; Set Decoration: Sam Comer, Grace Gregory,,,,,,,,,
3210|1963|Cinematography (Black and White)|0|Love with the Proper Stranger |Milton Krasner,,,,,,,,,,,
3211|1963|Costume Design (Black and White)|0|Love with the Proper Stranger |Edith Head,,,,,,,,,,,
3212|1963|Writing (Story and Screenplay, Written Directly for the Screen)|0|Love with the Proper Stranger |Arnold Schulman,,,,,,,,,,
3213|1961|Writing (Story and Screenplay, Written Directly for the Screen)|0|Lover Come Back |Stanley Shapiro, Paul Henning,,,,,,,,,
3214|1970|Actor in a Supporting Role|0|Lovers and Other Strangers|Richard Castellano,,,,,,,,,,,
3215|1970|Writing (Screenplay, Based on Material from Another Medium)|0|Lovers and Other Strangers |Renee Taylor, Joseph Bologna, David Zelag Goodman,,,,,,,,
3216|1966|Foreign Language Film|0|Loves of a Blonde |Czechoslovakia,,,,,,,,,,,
3217|1973|Costume Design|0|Ludwig |Piero Tosi,,,,,,,,,,,
3218|1956|Actor|0|Lust for Life|Kirk Douglas,,,,,,,,,,,
3219|1956|Actor in a Supporting Role|1|Lust for Life|Anthony Quinn,,,,,,,,,,,
3220|1956|Art Direction (Color)|0|Lust for Life |Art Direction: Cedric Gibbons, Hans Peters, Preston Ames; Set Decoration: Edwin B. Willis, F. Keogh Gleason,,,,,,,,
3221|1956|Writing (Screenplay, Adapted)|0|Lust for Life |Norman Corwin,,,,,,,,,,
3222|1980|Documentary (Short Subject)|0|Luther Metke at 94 |Richard Hawkins and Jorge Preloran, Producers,,,,,,,,,,
3223|1986|Short Film (Animated)|0|Luxo Jr. |John Lasseter and William Reeves, Producers,,,,,,,,,,
3224|1983|Jean Hersholt Humanitarian Award|1|M. J. Frankovich|,,,,,,,,,,,
3225|1970|Writing (Screenplay, Based on Material from Another Medium)|1|M*A*S*H |Ring Lardner, Jr.,,,,,,,,,
3226|2007|Short Film (Animated)|0|M?™me les Pigeons Vont au Paradis (Even Pigeons Go to Heaven) |Samuel Tourneux and Simon Vanesse,,,,,,,,,,,
3227|1970|Actress in a Supporting Role|1|MA*S*H|Sally Kellerman,,,,,,,,,,,
3228|1970|Best Picture|1|MA*S*H |Ingo Preminger, Producer,,,,,,,,,,
3229|1970|Directing|1|MA*S*H |Robert Altman,,,,,,,,,,,
3230|1970|Film Editing|1|MA*S*H |Danford B. Greene,,,,,,,,,,,
3231|1960|Foreign Language Film|0|Macario |Mexico,,,,,,,,,,,
3232|2015|Best Picture|0|Mad Max: Fury Road|Doug Mitchell and George Miller, Producers,,,,,,,,,,
3233|2015|Cinematography|0|Mad Max: Fury Road|John Seale,,,,,,,,,,,
3234|2015|Costume Design|1|Mad Max: Fury Road|Jenny Beavan,,,,,,,,,,,
3235|2015|Directing|0|Mad Max: Fury Road|George Miller,,,,,,,,,,,
3236|2015|Film Editing|1|Mad Max: Fury Road|Margaret Sixel,,,,,,,,,,,
3237|2015|Makeup and Hairstyling|1|Mad Max: Fury Road|Lesley Vanderwalt, Elka Wardega and Damian Martin,,,,,,,,,,
3238|2015|Production Design|1|Mad Max: Fury Road|Production Design: Colin Gibson; Set Decoration: Lisa Thompson,,,,,,,,,,,
3239|2015|Sound Editing|1|Mad Max: Fury Road|Mark Mangini and David White,,,,,,,,,,,
3240|2015|Sound Mixing|1|Mad Max: Fury Road|Chris Jenkins, Gregg Rudloff and Ben Osmo,,,,,,,,,,
3241|2015|Visual Effects|0|Mad Max: Fury Road|Andrew Jackson, Tom Wood, Dan Oliver and Andy Williams,,,,,,,,,
3242|2010|Short Film (Animated)|0|Madagascar, carnet de voyage (Madagascar, a Journey Diary) |Bastien Dubois,,,,,,,,,
3243|1991|Costume Design|0|Madame Bovary |Corinne Jorry,,,,,,,,,,,
3244|1977|Foreign Language Film|1|Madame Rosa |France,,,,,,,,,,,
3245|2007|Short Film (Animated)|0|Madame Tutli-Putli |Chris Lavis and Maciek Szczerbowski,,,,,,,,,,,
3246|1952|Short Subject (Cartoon)|0|Madeline |Stephen Bosustow, Executive Producer,,,,,,,,,,
3247|2006|Short Film (Animated)|0|Maestro |G?©za M. T??th,,,,,,,,,,,
"3248|2012|Short Film (Animated)|0|""Maggie Simpson in """"The Longest Daycare"""" ""|David Silverman",,,,,,,,,,,
3249|1954|Actress|0|Magnificent Obsession|Jane Wyman,,,,,,,,,,,
3250|1999|Actor in a Supporting Role|0|Magnolia|Tom Cruise,,,,,,,,,,,
3251|1999|Writing (Screenplay Written Directly for the Screen)|0|Magnolia |Paul Thomas Anderson,,,,,,,,,,,
3252|1999|Short Film (Live Action)|0|Major and Minor Miracles |Marcus Olsson,,,,,,,,,,,
3253|1985|Documentary (Short Subject)|0|Making Overtures--The Story of a Community Orchestra |Barbara Willis Sweete, Producer,,,,,,,,,,
3254|1987|Short Film (Live Action)|0|Making Waves |Ann Wingate, Producer,,,,,,,,,,
3255|2000|Cinematography|0|Mal?®na |Lajos Koltai,,,,,,,,,,,
3256|2000|Music (Original Score)|0|Mal?®na |Ennio Morricone,,,,,,,,,,,
3257|1992|Actor in a Leading Role|0|Malcolm X|Denzel Washington,,,,,,,,,,,
3258|1992|Costume Design|0|Malcolm X |Ruth Carter,,,,,,,,,,,
3259|1972|Documentary (Feature)|0|Malcolm X |Marvin Worth and Arnold Perl, Producers,,,,,,,,,,
3260|2014|Costume Design|0|Maleficent |Anna B. Sheppard,,,,,,,,,,,
3261|1979|Foreign Language Film|0|Mama Turns a Hundred |Spain,,,,,,,,,,,
3262|1952|Documentary (Short Subject)|0|Man Alive! |Stephen Bosustow, Executive Producer,,,,,,,,,,
3263|1956|Documentary (Short Subject)|0|Man in Space |Ward Kimball, Producer,,,,,,,,,,
3264|1957|Writing (Story and Screenplay, Written Directly for the Screen)|0|Man of a Thousand Faces |Story by Ralph Wheelwright; Screenplay by R. Wright Campbell, Ivan Goff, Ben Roberts,,,,,,,,
3265|1981|Foreign Language Film|0|Man of Iron |Poland,,,,,,,,,,,
3266|1972|Music (Scoring: Adaptation and Original Song Score)|0|Man of La Mancha |Adaptation Score by Laurence Rosenthal,,,,,,,,,,,
3267|2008|Documentary (Feature)|1|Man on Wire |James Marsh and Simon Chinn,,,,,,,,,,,
3268|1996|Documentary (Feature)|0|Mandela |Jo Menell, Angus Gibson,,,,,,,,,,
3269|1966|Costume Design (Black and White)|0|Mandragola |Danilo Donati,,,,,,,,,,,
3270|1978|Short Film (Live Action)|0|Mandy's Grandmother |Andrew Sugerman, Producer,,,,,,,,,,
3271|1979|Actress in a Supporting Role|0|Manhattan|Mariel Hemingway,,,,,,,,,,,
3272|1979|Writing (Screenplay Written Directly for the Screen)|0|Manhattan |Woody Allen, Marshall Brickman,,,,,,,,,,
3273|1991|Short Film (Animated)|1|Manipulation |Daniel Greaves,,,,,,,,,,,
3274|2008|Short Film (Live Action)|0|Manon on the Asphalt |Elizabeth Marre and Olivier Pont,,,,,,,,,,,
3275|1972|Documentary (Feature)|0|Manson |Robert Hendrickson and Laurence Merrick, Producers,,,,,,,,,,
3276|1976|Actor in a Supporting Role|0|Marathon Man|Laurence Olivier,,,,,,,,,,,
3277|2005|Documentary (Feature)|1|March of the Penguins |Luc Jacquet and Yves Darondeau,,,,,,,,,,,
3278|1958|Music (Scoring of a Musical Picture)|0|Mardi Gras |Lionel Newman,,,,,,,,,,,
3279|1977|Honorary Award|1|Margaret Booth|,,,,,,,,,,,
3280|2011|Writing (Original Screenplay)|0|Margin Call |Written by J.C. Chandor,,,,,,,,,,,
3281|2004|Actress in a Leading Role|0|Maria Full of Grace|Catalina Sandino Moreno,,,,,,,,,,,
3282|2006|Costume Design|1|Marie Antoinette |Milena Canonero,,,,,,,,,,,
3283|1972|Documentary (Feature)|1|Marjoe |Howard Smith and Sarah Kernochan, Producers,,,,,,,,,,
3284|2008|John A. Bonner Medal of Commendation|1|Mark Kimball|,,,,,,,,,,,
3285|1984|Documentary (Feature)|0|Marlene |Karel Dirka and Zev Braun, Producers,,,,,,,,,,
3286|1969|Cinematography|0|Marooned |Daniel Fapp,,,,,,,,,,,
3287|1969|Sound|0|Marooned |Les Fresholtz, Arthur Piantadosi,,,,,,,,,,
3288|1969|Special Visual Effects|1|Marooned |Robbie Robertson,,,,,,,,,,,
3289|1964|Actress|0|Marriage Italian Style|Sophia Loren,,,,,,,,,,,
3290|1965|Foreign Language Film|0|Marriage Italian Style |Italy,,,,,,,,,,,
3291|1988|Actor in a Supporting Role|0|Married to the Mob|Dean Stockwell,,,,,,,,,,,
3292|1968|Jean Hersholt Humanitarian Award|1|Martha Raye|,,,,,,,,,,,
3293|1953|Art Direction (Black and White)|0|Martin Luther |Art Direction: Fritz Maurischat, Paul Markwitz,,,,,,,,,,
3294|1953|Cinematography (Black and White)|0|Martin Luther |Joseph C. Brun,,,,,,,,,,,
3295|1955|Actor|1|Marty|Ernest Borgnine,,,,,,,,,,,
3296|1955|Actor in a Supporting Role|0|Marty|Joe Mantell,,,,,,,,,,,
3297|1955|Actress in a Supporting Role|0|Marty|Betsy Blair,,,,,,,,,,,
3298|1955|Art Direction (Black and White)|0|Marty |Art Direction: Edward S. Haworth, Walter Simonds; Set Decoration: Robert Priestley,,,,,,,,,,
3299|1955|Best Motion Picture|1|Marty |Harold Hecht, Producer,,,,,,,,,,
3300|1955|Cinematography (Black and White)|0|Marty |Joseph LaShelle,,,,,,,,,,,
3301|1955|Directing|1|Marty |Delbert Mann,,,,,,,,,,,
3302|1955|Writing (Screenplay)|1|Marty |Paddy Chayefsky,,,,,,,,,,,
3303|2012|Visual Effects|0|Marvel's The Avengers |Janek Sirrs, Jeff White, Guy Williams and Dan Sudick,,,,,,,,,
3304|1996|Actress in a Leading Role|0|Marvin's Room|Diane Keaton,,,,,,,,,,,
3305|1975|Honorary Award|1|Mary Pickford|,,,,,,,,,,,
3306|1964|Actress|1|Mary Poppins|Julie Andrews,,,,,,,,,,,
3307|1964|Art Direction (Color)|0|Mary Poppins |Art Direction: Carroll Clark, William H. Tuntke; Set Decoration: Emile Kuri, Hal Gausman,,,,,,,,,
3308|1964|Best Picture|0|Mary Poppins |Walt Disney and Bill Walsh, Producers,,,,,,,,,,
3309|1964|Cinematography (Color)|0|Mary Poppins |Edward Colman,,,,,,,,,,,
3310|1964|Costume Design (Color)|0|Mary Poppins |Tony Walton,,,,,,,,,,,
3311|1964|Directing|0|Mary Poppins |Robert Stevenson,,,,,,,,,,,
3312|1964|Film Editing|1|Mary Poppins |Cotton Warburton,,,,,,,,,,,
3313|1964|Music (Music Score, Substantially Original)|1|Mary Poppins |Richard M. Sherman, Robert B. Sherman,,,,,,,,,
3314|1964|Music (Scoring of Music, Adaptation or Treatment)|0|Mary Poppins |Irwin Kostal,,,,,,,,,,
3315|1964|Sound|0|Mary Poppins |Walt Disney Studio Sound Department, Robert O. Cook, Sound Director,,,,,,,,,
3316|1964|Special Visual Effects|1|Mary Poppins |Peter Ellenshaw, Eustace Lycett, Hamilton Luske,,,,,,,,,
3317|1964|Writing (Screenplay, Based on Material from Another Medium)|0|Mary Poppins |Bill Walsh, Don DaGradi,,,,,,,,,
3318|1994|Makeup|0|Mary Shelley's Frankenstein |Daniel Parker, Paul Engelen, Carol Hemming,,,,,,,,,
3319|1971|Actress|0|Mary, Queen of Scots|Vanessa Redgrave,,,,,,,,,,
3320|1971|Art Direction|0|Mary, Queen of Scots |Art Direction: Terence Marsh, Robert Cartwright; Set Decoration: Peter Howitt,,,,,,,,,
3321|1971|Costume Design|0|Mary, Queen of Scots |Margaret Furse,,,,,,,,,,
3322|1971|Music (Original Dramatic Score)|0|Mary, Queen of Scots |John Barry,,,,,,,,,,
3323|1971|Sound|0|Mary, Queen of Scots |Bob Jones, John Aldred,,,,,,,,,
3324|1985|Makeup|1|Mask |Michael Westmore, Zoltan Elek,,,,,,,,,,
3325|2003|Art Direction|0|Master and Commander: The Far Side of the World |Art Direction: William Sandell; Set Decoration: Robert Gould,,,,,,,,,,,
3326|2003|Best Picture|0|Master and Commander: The Far Side of the World |Samuel Goldwyn, Jr., Peter Weir and Duncan Henderson, Producers,,,,,,,,
3327|2003|Cinematography|1|Master and Commander: The Far Side of the World |Russell Boyd,,,,,,,,,,,
3328|2003|Costume Design|0|Master and Commander: The Far Side of the World |Wendy Stites,,,,,,,,,,,
3329|2003|Directing|0|Master and Commander: The Far Side of the World |Peter Weir,,,,,,,,,,,
3330|2003|Film Editing|0|Master and Commander: The Far Side of the World |Lee Smith,,,,,,,,,,,
3331|2003|Makeup|0|Master and Commander: The Far Side of the World |Edouard Henriques III and Yolanda Toussieng,,,,,,,,,,,
3332|2003|Sound Editing|1|Master and Commander: The Far Side of the World |Richard King,,,,,,,,,,,
3333|2003|Sound Mixing|0|Master and Commander: The Far Side of the World |Paul Massey, D.M. Hemphill and Arthur Rochester,,,,,,,,,,
3334|2003|Visual Effects|0|Master and Commander: The Far Side of the World |Dan Sudick, Stefen Fangmeier, Nathan McGuinness and Robert Stromberg,,,,,,,,,
3335|2005|Writing (Original Screenplay)|0|Match Point |Written by Woody Allen,,,,,,,,,,,
3336|1987|Cinematography|0|Matewan |Haskell Wexler,,,,,,,,,,,
3337|2014|Honorary Award|1|Maureen O'Hara|,,,,,,,,,,,
3338|1987|Costume Design|0|Maurice |Jenny Beavan, John Bright,,,,,,,,,,
3339|1958|Honorary Award|1|Maurice Chevalier|,,,,,,,,,,,
3340|1994|Costume Design|0|Maverick |April Ferry,,,,,,,,,,,
3341|1994|Documentary (Feature)|1|Maya Lin: A Strong Clear Vision |Freida Lee Mock, Terry Sanders,,,,,,,,,,
3342|1971|Actress|0|McCabe & Mrs. Miller|Julie Christie,,,,,,,,,,,
3343|2014|Short Film (Animated)|0|Me and My Moulton |Torill Kove,,,,,,,,,,,
3344|1991|Foreign Language Film|1|Mediterraneo |Italy,,,,,,,,,,,
3345|1956|Music (Scoring of a Musical Picture)|0|Meet Me in Las Vegas |George Stoll, Johnny Green,,,,,,,,,,
3346|1980|Actor in a Supporting Role|0|Melvin and Howard|Jason Robards,,,,,,,,,,,
3347|1980|Actress in a Supporting Role|1|Melvin and Howard|Mary Steenburgen,,,,,,,,,,,
3348|1980|Writing (Screenplay Written Directly for the Screen)|1|Melvin and Howard |Bo Goldman,,,,,,,,,,,
3349|2001|Film Editing|0|Memento |Dody Dorn,,,,,,,,,,,
3350|2001|Writing (Screenplay Written Directly for the Screen)|0|Memento |Screenplay by Christopher Nolan; Story by Jonathan Nolan,,,,,,,,,,,
3351|2005|Art Direction|1|Memoirs of a Geisha |Art Direction: John Myhre; Set Decoration: Gretchen Rau,,,,,,,,,,,
3352|2005|Cinematography|1|Memoirs of a Geisha |Dion Beebe,,,,,,,,,,,
3353|2005|Costume Design|1|Memoirs of a Geisha |Colleen Atwood,,,,,,,,,,,
3354|2005|Music (Original Score)|0|Memoirs of a Geisha |John Williams,,,,,,,,,,,
3355|2005|Sound Editing|0|Memoirs of a Geisha |Wylie Stateman,,,,,,,,,,,
3356|2005|Sound Mixing|0|Memoirs of a Geisha |Kevin O'Connell, Greg P. Russell, Rick Kline and John Pritchett,,,,,,,,,
3357|1991|Documentary (Short Subject)|0|Memorial: Letters from American Soldiers |Bill Couturi?© and Bernard Edelman, Producers,,,,,,,,,,
3358|1955|Documentary (Short Subject)|1|Men against the Arctic |Walt Disney, Producer,,,,,,,,,,
3359|1997|Art Direction|0|Men in Black |Art Direction: Bo Welch; Set Decoration: Cheryl Carasik,,,,,,,,,,,
3360|1997|Makeup|1|Men in Black |Rick Baker, David LeRoy Anderson,,,,,,,,,,
3361|1997|Music (Original Musical or Comedy Score)|0|Men in Black |Danny Elfman,,,,,,,,,,,
3362|1981|Foreign Language Film|1|Mephisto |Hungary,,,,,,,,,,,
3363|1962|Art Direction (Color)|0|Meredith Willson's The Music Man |Art Direction: Paul Groesse; Set Decoration: George James Hopkins,,,,,,,,,,,
3364|1962|Best Picture|0|Meredith Willson's The Music Man |Morton Da Costa, Producer,,,,,,,,,,
3365|1962|Costume Design (Color)|0|Meredith Willson's The Music Man |Dorothy Jeakins,,,,,,,,,,,
3366|1962|Film Editing|0|Meredith Willson's The Music Man |William Ziegler,,,,,,,,,,,
3367|1962|Music (Scoring of Music, Adaptation or Treatment)|1|Meredith Willson's The Music Man |Ray Heindorf,,,,,,,,,,
3368|1962|Sound|0|Meredith Willson's The Music Man |Warner Brothers Studio Sound Department, George R. Groves, Sound Director,,,,,,,,,
3369|1952|Honorary Award|1|Merian C. Cooper|,,,,,,,,,,,
3370|1975|Irving G. Thalberg Memorial Award|1|Mervyn LeRoy|,,,,,,,,,,,
3371|1979|Sound|0|Meteor |William McCaughey, Aaron Rochin, Michael J. Kohut, Jack Solomon,,,,,,,,
3372|1990|Writing (Screenplay Written Directly for the Screen)|0|Metropolitan |Whit Stillman,,,,,,,,,,,
3373|1959|Short Subject (Cartoon)|0|Mexicali Shmoes |John W. Burton, Producer,,,,,,,,,,
3374|2007|Actor in a Leading Role|0|Michael Clayton|George Clooney,,,,,,,,,,,
3375|2007|Actor in a Supporting Role|0|Michael Clayton|Tom Wilkinson,,,,,,,,,,,
3376|2007|Actress in a Supporting Role|1|Michael Clayton|Tilda Swinton,,,,,,,,,,,
3377|2007|Best Picture|0|Michael Clayton |Sydney Pollack, Jennifer Fox and Kerry Orent, Producers,,,,,,,,,
3378|2007|Directing|0|Michael Clayton |Tony Gilroy,,,,,,,,,,,
3379|2007|Music (Original Score)|0|Michael Clayton |James Newton Howard,,,,,,,,,,,
3380|2007|Writing (Original Screenplay)|0|Michael Clayton |Written by Tony Gilroy,,,,,,,,,,,
3381|1996|Cinematography|0|Michael Collins |Chris Menges,,,,,,,,,,,
3382|1996|Music (Original Dramatic Score)|0|Michael Collins |Elliot Goldenthal,,,,,,,,,,,
3383|1996|Honorary Award|1|Michael Kidd|,,,,,,,,,,,
3384|1994|Honorary Award|1|Michelangelo Antonioni|,,,,,,,,,,,
3385|1982|Honorary Award|1|Mickey Rooney|,,,,,,,,,,,
3386|1983|Short Film (Animated)|0|Mickey's Christmas Carol |Burny Mattinson, Producer,,,,,,,,,,
3387|1969|Actor|0|Midnight Cowboy|Dustin Hoffman,,,,,,,,,,,
3388|1969|Actor|0|Midnight Cowboy|Jon Voight,,,,,,,,,,,
3389|1969|Actress in a Supporting Role|0|Midnight Cowboy|Sylvia Miles,,,,,,,,,,,
3390|1969|Best Picture|1|Midnight Cowboy |Jerome Hellman, Producer,,,,,,,,,,
3391|1969|Directing|1|Midnight Cowboy |John Schlesinger,,,,,,,,,,,
3392|1969|Film Editing|0|Midnight Cowboy |Hugh A. Robertson,,,,,,,,,,,
3393|1969|Writing (Screenplay, Based on Material from Another Medium)|1|Midnight Cowboy |Waldo Salt,,,,,,,,,,
3394|1978|Actor in a Supporting Role|0|Midnight Express|John Hurt,,,,,,,,,,,
3395|1978|Best Picture|0|Midnight Express |Alan Marshall and David Puttnam, Producers,,,,,,,,,,
3396|1978|Directing|0|Midnight Express |Alan Parker,,,,,,,,,,,
3397|1978|Film Editing|0|Midnight Express |Gerry Hambling,,,,,,,,,,,
3398|1978|Music (Original Score)|1|Midnight Express |Giorgio Moroder,,,,,,,,,,,
3399|1978|Writing (Screenplay Based on Material from Another Medium)|1|Midnight Express |Oliver Stone,,,,,,,,,,,
3400|2011|Art Direction|0|Midnight in Paris |Production Design: Anne Seibel; Set Decoration: H?©l?®ne Dubreuil,,,,,,,,,,,
3401|2011|Best Picture|0|Midnight in Paris |Letty Aronson and Stephen Tenenbaum, Producers,,,,,,,,,,
3402|2011|Directing|0|Midnight in Paris |Woody Allen,,,,,,,,,,,
3403|2011|Writing (Original Screenplay)|1|Midnight in Paris |Written by Woody Allen,,,,,,,,,,,
3404|1960|Costume Design (Color)|0|Midnight Lace |Irene,,,,,,,,,,,
3405|1995|Actress in a Supporting Role|1|Mighty Aphrodite|Mira Sorvino,,,,,,,,,,,
3406|1995|Writing (Screenplay Written Directly for the Screen)|0|Mighty Aphrodite |Woody Allen,,,,,,,,,,,
3407|1998|Visual Effects|0|Mighty Joe Young |Rick Baker, Hoyt Yeatman, Allen Hall, Jim Mitchell,,,,,,,,
3408|2004|Documentary (Short Subject)|1|Mighty Times: The Children's March |Robert Hudson and Bobby Houston,,,,,,,,,,,
3409|2002|Documentary (Short Subject)|0|Mighty Times: The Legacy of Rosa Parks |Robert Hudson, Bobby Houston,,,,,,,,,,
3410|2002|Short Film (Animated)|0|Mike's New Car |Pete Docter, Roger Gould,,,,,,,,,,
3411|2008|Actor in a Leading Role|1|Milk|Sean Penn,,,,,,,,,,,
3412|2008|Actor in a Supporting Role|0|Milk|Josh Brolin,,,,,,,,,,,
3413|2008|Best Picture|0|Milk |Dan Jinks and Bruce Cohen, Producers,,,,,,,,,,
3414|2008|Costume Design|0|Milk |Danny Glicker,,,,,,,,,,,
3415|2008|Directing|0|Milk |Gus Van Sant,,,,,,,,,,,
3416|2008|Film Editing|0|Milk |Elliot Graham,,,,,,,,,,,
3417|2008|Music (Original Score)|0|Milk |Danny Elfman,,,,,,,,,,,
3418|2008|Writing (Original Screenplay)|1|Milk |Written by Dustin Lance Black,,,,,,,,,,,
3419|2004|Actor in a Leading Role|0|Million Dollar Baby|Clint Eastwood,,,,,,,,,,,
3420|2004|Actor in a Supporting Role|1|Million Dollar Baby|Morgan Freeman,,,,,,,,,,,
3421|2004|Actress in a Leading Role|1|Million Dollar Baby|Hilary Swank,,,,,,,,,,,
3422|2004|Best Picture|1|Million Dollar Baby |Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers,,,,,,,,,
3423|2004|Directing|1|Million Dollar Baby |Clint Eastwood,,,,,,,,,,,
3424|2004|Film Editing|0|Million Dollar Baby |Joel Cox,,,,,,,,,,,
3425|2004|Writing (Adapted Screenplay)|0|Million Dollar Baby |Screenplay by Paul Haggis,,,,,,,,,,,
3426|1952|Cinematography (Color)|0|Million Dollar Mermaid |George J. Folsey,,,,,,,,,,,
3427|1975|Documentary (Short Subject)|0|Millions of Years Ahead of Man |Manfred Baier, Producer,,,,,,,,,,
3428|2002|Sound Editing|0|Minority Report |Richard Hymns, Gary Rydstrom,,,,,,,,,,
3429|2009|Short Film (Live Action)|0|Miracle Fish |Luke Doolan and Drew Bailey,,,,,,,,,,,
3430|1952|Music (Music Score of a Dramatic or Comedy Picture)|0|Miracle of Fatima |Max Steiner,,,,,,,,,,,
3431|2012|Costume Design|0|Mirror Mirror |Eiko Ishioka,,,,,,,,,,,
3432|1990|Actress in a Leading Role|1|Misery|Kathy Bates,,,,,,,,,,,
3433|1982|Actor in a Leading Role|0|Missing|Jack Lemmon,,,,,,,,,,,
3434|1982|Actress in a Leading Role|0|Missing|Sissy Spacek,,,,,,,,,,,
3435|1982|Best Picture|0|Missing |Edward Lewis and Mildred Lewis, Producers,,,,,,,,,,
3436|1982|Writing (Screenplay Based on Material from Another Medium)|1|Missing |Costa-Gavras, Donald Stewart,,,,,,,,,,
3437|1988|Actor in a Leading Role|0|Mississippi Burning|Gene Hackman,,,,,,,,,,,
3438|1988|Actress in a Supporting Role|0|Mississippi Burning|Frances McDormand,,,,,,,,,,,
3439|1988|Best Picture|0|Mississippi Burning |Frederick Zollo and Robert F. Colesberry, Producers,,,,,,,,,,
3440|1988|Cinematography|1|Mississippi Burning |Peter Biziou,,,,,,,,,,,
3441|1988|Directing|0|Mississippi Burning |Alan Parker,,,,,,,,,,,
